Number of generations, Best Machine, Best fitness, Average fitness 
0, 95, 0.343755, 0.212012
1, 76, 0.548872, 0.274363
2, 66, 0.600078, 0.350031
3, 66, 0.600078, 0.336456
4, 1, 0.610061, 0.374584
5, 1, 0.610061, 0.322815
6, 1, 0.610061, 0.363584
7, 1, 0.610061, 0.417721
8, 1, 0.610061, 0.406692
9, 1, 0.610061, 0.428401
10, 1, 0.610061, 0.390330
11, 85, 0.615272, 0.420643
12, 85, 0.615272, 0.436820
13, 85, 0.615272, 0.406187
14, 85, 0.615272, 0.433807
15, 63, 0.631557, 0.449137
16, 63, 0.631557, 0.395335
17, 63, 0.631557, 0.420649
18, 63, 0.631557, 0.411118
19, 63, 0.631557, 0.412470
20, 63, 0.631557, 0.439105
21, 63, 0.631557, 0.405672
22, 63, 0.631557, 0.429768
23, 63, 0.631557, 0.403135
24, 63, 0.631557, 0.409642
25, 63, 0.631557, 0.368372
26, 63, 0.631557, 0.392259
27, 63, 0.631557, 0.406296
28, 63, 0.631557, 0.417462
29, 63, 0.631557, 0.422538
30, 63, 0.631557, 0.424329
31, 63, 0.631557, 0.418592
32, 63, 0.631557, 0.381278
33, 63, 0.631557, 0.433949
34, 63, 0.631557, 0.396830
35, 63, 0.631557, 0.450882
36, 63, 0.631557, 0.405971
37, 63, 0.631557, 0.405771
38, 63, 0.631557, 0.420306
39, 63, 0.631557, 0.414692
40, 63, 0.631557, 0.433411
41, 63, 0.631557, 0.460051
42, 63, 0.631557, 0.417210
43, 63, 0.631557, 0.449606
44, 63, 0.631557, 0.462334
45, 63, 0.631557, 0.439446
46, 63, 0.631557, 0.431169
47, 63, 0.631557, 0.441799
48, 63, 0.631557, 0.414412
49, 63, 0.631557, 0.425120
50, 63, 0.631557, 0.409019
