Number of generations, Best Machine, Best fitness, Average fitness 
0, 55, 0.701606, 0.060453
1, 55, 0.701606, 0.066891
2, 55, 0.701606, 0.088161
3, 55, 0.701606, 0.118164
4, 55, 0.701606, 0.122518
5, 55, 0.701606, 0.120041
6, 55, 0.701606, 0.143043
7, 55, 0.701606, 0.201449
8, 55, 0.701606, 0.212774
9, 55, 0.701606, 0.260384
10, 55, 0.701606, 0.294732
11, 55, 0.701606, 0.288127
12, 55, 0.701606, 0.303166
13, 55, 0.701606, 0.303560
14, 55, 0.701606, 0.320758
15, 55, 0.701606, 0.303863
16, 55, 0.701606, 0.300811
17, 55, 0.701606, 0.320198
18, 55, 0.701606, 0.357845
19, 55, 0.701606, 0.363481
20, 55, 0.701606, 0.371849
21, 55, 0.701606, 0.388698
22, 55, 0.701606, 0.396367
23, 55, 0.701606, 0.422293
24, 55, 0.701606, 0.409976
25, 55, 0.701606, 0.438808
26, 55, 0.701606, 0.412876
27, 55, 0.701606, 0.418025
28, 55, 0.701606, 0.436565
29, 48, 0.730908, 0.445826
30, 48, 0.730908, 0.450724
31, 60, 0.733853, 0.486071
32, 60, 0.733853, 0.459557
33, 60, 0.733853, 0.493421
34, 60, 0.733853, 0.537229
35, 60, 0.733853, 0.537064
36, 2, 0.818710, 0.580328
37, 24, 0.833091, 0.583969
38, 24, 0.833091, 0.582404
39, 24, 0.833091, 0.583507
40, 24, 0.833091, 0.588850
41, 24, 0.833091, 0.599597
42, 24, 0.833091, 0.605342
43, 24, 0.833091, 0.582344
44, 24, 0.833091, 0.590061
45, 24, 0.833091, 0.610497
46, 24, 0.833091, 0.602459
47, 24, 0.833091, 0.604172
48, 24, 0.833091, 0.588204
49, 24, 0.833091, 0.598536
50, 24, 0.833091, 0.580334
