Number of generations, Best fitness, Average fitness 
0, 0.257894, 0.140124
1, 0.523651, 0.232051
2, 0.512708, 0.261300
3, 0.525762, 0.318284
4, 0.531835, 0.378314
5, 0.532320, 0.370858
6, 0.536845, 0.391312
7, 0.544989, 0.415534
8, 0.544117, 0.435344
9, 0.544379, 0.445383
10, 0.543925, 0.419598
11, 0.558196, 0.465238
12, 0.547096, 0.491072
13, 0.556903, 0.463039
14, 0.555722, 0.502609
15, 0.548605, 0.480994
16, 0.541731, 0.471445
17, 0.548111, 0.495348
18, 0.550035, 0.510401
19, 0.554204, 0.490148
20, 0.551932, 0.513618
21, 0.549787, 0.515073
22, 0.556377, 0.489602
23, 0.554871, 0.485867
24, 0.554392, 0.503596
25, 0.555358, 0.497149
26, 0.556720, 0.537702
27, 0.559270, 0.540070
28, 0.556890, 0.531632
29, 0.557034, 0.521339
30, 0.557035, 0.531795
31, 0.557461, 0.499102
32, 0.557253, 0.526454
33, 0.557384, 0.521121
34, 0.558404, 0.515747
35, 0.556901, 0.520997
36, 0.558298, 0.521013
37, 0.558913, 0.532327
38, 0.558256, 0.521156
39, 0.557091, 0.526579
40, 0.556859, 0.521038
41, 0.558235, 0.526348
42, 0.557086, 0.554148
43, 0.558697, 0.504579
44, 0.558685, 0.526469
45, 0.557839, 0.526638
46, 0.557433, 0.532251
47, 0.557697, 0.515686
48, 0.556656, 0.542950
49, 0.559261, 0.504805
50, 0.557566, 0.537000
