Number of generations, Best fitness, Average fitness 
0, 0.279125, 0.136027
1, 0.374786, 0.202507
2, 0.380257, 0.206438
3, 0.380425, 0.231414
4, 0.412961, 0.234306
5, 0.412961, 0.283020
6, 0.412961, 0.281457
7, 0.412961, 0.328157
8, 0.412961, 0.347138
9, 0.412961, 0.341555
10, 0.412961, 0.331072
11, 0.412961, 0.352169
12, 0.412961, 0.334104
13, 0.412961, 0.342533
14, 0.412961, 0.366579
15, 0.412961, 0.338532
16, 0.412961, 0.351420
17, 0.412961, 0.343456
18, 0.412961, 0.354837
19, 0.412961, 0.331212
20, 0.412961, 0.327312
21, 0.412961, 0.335412
22, 0.412961, 0.331557
23, 0.412961, 0.366851
24, 0.412961, 0.371180
25, 0.412961, 0.359477
26, 0.412961, 0.367438
27, 0.412961, 0.331541
28, 0.412961, 0.371638
29, 0.412961, 0.316212
30, 0.412961, 0.355656
31, 0.412961, 0.368157
32, 0.412961, 0.356558
33, 0.412961, 0.352862
34, 0.412961, 0.309205
35, 0.412961, 0.360658
36, 0.412961, 0.357456
37, 0.412961, 0.361535
38, 0.412961, 0.353891
39, 0.412961, 0.358318
40, 0.412961, 0.350531
41, 0.412961, 0.362109
42, 0.412961, 0.379031
43, 0.412961, 0.354240
44, 0.412961, 0.326150
45, 0.412961, 0.378178
46, 0.412961, 0.363056
47, 0.412961, 0.358342
48, 0.412961, 0.350278
49, 0.412961, 0.350386
50, 0.412961, 0.350871
