Number of generations, Best Machine, Best fitness, Average fitness 
0, 53, 0.525995, 0.059063
1, 53, 0.525995, 0.084456
2, 53, 0.525995, 0.079013
3, 53, 0.525995, 0.121573
4, 53, 0.525995, 0.136511
5, 55, 0.563158, 0.166544
6, 55, 0.563158, 0.199990
7, 55, 0.563158, 0.217828
8, 55, 0.563158, 0.264404
9, 55, 0.563158, 0.282538
10, 55, 0.563158, 0.243052
11, 55, 0.563158, 0.274666
12, 42, 0.694690, 0.290892
13, 42, 0.694690, 0.295768
14, 42, 0.694690, 0.289544
15, 42, 0.694690, 0.297250
16, 42, 0.694690, 0.291104
17, 42, 0.694690, 0.292381
18, 42, 0.694690, 0.277951
19, 42, 0.694690, 0.304468
20, 42, 0.694690, 0.285810
21, 42, 0.694690, 0.300106
22, 42, 0.694690, 0.290310
23, 42, 0.694690, 0.261439
24, 42, 0.694690, 0.323252
25, 42, 0.694690, 0.310965
26, 42, 0.694690, 0.321774
27, 42, 0.694690, 0.310516
28, 42, 0.694690, 0.300822
29, 42, 0.694690, 0.285158
30, 42, 0.694690, 0.289524
31, 42, 0.694690, 0.268479
32, 42, 0.694690, 0.289397
33, 42, 0.694690, 0.314938
34, 42, 0.694690, 0.329021
35, 42, 0.694690, 0.278096
36, 42, 0.694690, 0.303542
37, 42, 0.694690, 0.299478
38, 42, 0.694690, 0.324469
39, 42, 0.694690, 0.304515
40, 42, 0.694690, 0.311500
41, 42, 0.694690, 0.315317
42, 42, 0.694690, 0.330695
43, 42, 0.694690, 0.327692
44, 42, 0.694690, 0.329211
45, 42, 0.694690, 0.308344
46, 42, 0.694690, 0.312159
47, 42, 0.694690, 0.324773
48, 42, 0.694690, 0.330945
49, 42, 0.694690, 0.348630
50, 42, 0.694690, 0.322343
